data_id,review_count
0x48877801ebab00df:0xe89cfd6b4942e3e5,56
0x48878552044b7c6b:0x162f77dc671d49c3,171
0x487d7dcdd1ab300d:0xb2a4cd1f11428a83,76
0x488778c0703cf407:0x472cac8c70894be3,124
0x488778bebea52901:0x5a1c7155a887eb4d,1014
0x488778c08796d2f5:0x7876ac281a20d06d,491
0x488782f7834f8c63:0x28a18923ef49c38c,1022
0x488783ddffe9f411:0xbe582c27dbdb6457,102
0x488782f82d978d1f:0xcf4311ea74b7763d,452
0x487b8b572e92f737:0xb4fa51065981d9d5,318
0x488782f9de8920a3:0x3e74382e95387700,509
0x488782f9bd5b5d0b:0x556b710952499af5,629
0x488782f997e02249:0x47331f068885817c,312
0x488782e4cd900845:0x8c36e9e670c74d5d,143
0x488782e343882b57:0x8849bbc0ce3cc65a,134
0x48877f745e748631:0x5709ee963fc1d75c,114
0x48877c3498090fe3:0x8a40e721799131bb,296
0x487d7f7441b5b1fd:0xb2db4d8b26ef9cee,21
0x4887789efe56abeb:0x8e92af8600dfe7b3,144
0x488784bc5a6a6abd:0x6a6e02657d2220ca,116
0x4887849560fe808f:0x70825d1a2f2144cf,93
0x487d7dd04b87fc7f:0x875493e06a6a8b8,182
0x487d7dce1e15c223:0x910a1238d261a274,85
0x487d7dcde21ec0bd:0xf64980089376498c,126
0x4887789f30685985:0xd9b1ed1c4e86c3de,1321
0x488778c04a4ba7ef:0x63b83912ad8a2de4,685
0x488782f9db33db21:0xe8af6beaca98db72,304
0x4887839ea8edfa27:0x31aec03c8bd7671d,186
0x4887834861c47901:0x63b47b3db2703471,45
0x488783a60961282f:0x7ba0fb4e46b83149,24
0x488779f2e3a6b111:0xd9b3502d01164e9b,50
0x48877801f26b0c01:0x6846e6d2f6e40a4b,50
0x48887aa510c41c39:0xc897dfd1c5914d10,66
0x48877f3f6ee52c7f:0x3560217a15cb0284,168
0x4887842a9003086d:0x9f2fc0be74107f1,108
0x48877a21de6a06fd:0xb04253d98c32a38d,482
0x48878609335e11fb:0x9589ed5bf77640cf,294
0x48877e08f8311789:0xba75092db42c8df0,568
0x487d7fe3c1846fcf:0x6948710cea56fa01,87
0x48877f0fafa33a3d:0xe38ba9b46bd657e5,335
0x4887698fc4e8a5fb:0x3dba39e7aa88a6b7,98
0x488713a88afb06ab:0x44b5f16dc440c97f,53
0x488715b0e101b575:0x3c439ee104c0e29a,1494
0x487d723120c1c035:0x572bca347cb13e68,427
0x48877925eed3cae3:0x8701383274f09e8,29
0x48878542cf32bad9:0xd822ba8c336e4c4c,45
0x488784c7ccb6c579:0x88e975fcb2d5a6b,1764
0x487d7dd5a1295929:0x8b937440e8f28374,36
0x4887789e450d8e67:0x62ad745c2f5d0568,19
0x488779b5904e4bcf:0x891812f8520fadce,12
0x43de8101fff10221:0xc8e64b269db8ec7e,181
0x48877801f2e24667:0xc9fdbac7c70f8cca,411
0x4887836631a1ff21:0x183c6a019dc9a8e9,85
0x488782f778624a3b:0xc3a1fa8864e1030f,97
0x488783617c1b475b:0xe287804b55595ba9,51
0x487123e02ce82fe7:0x95c0ef91379b7cc8,103
0x48713cc011e22123:0x728e52ea3c2a2fff,14
0x487128b679076987:0x43adb3925e19775,274
0x487128b675d35c7b:0xd1959d2ad14f2cb1,325
0x48711df072a3f335:0x9a7bad13db07236f,249
0x48713139ce4725b9:0xbde3aeb7d2bc6efa,307
0x4870e330f0ad6759:0xee7190099d275d64,94
0x48710d93f1674d67:0xfa6a95e51e717e1f,19
0x48712146676b369f:0x181f4857188b4a,555
0x487128b671ce4c97:0x43371fae3bac0688,258
0x48711f80097812f1:0x3a86b6e9a74d6db4,65
0x48711f723ee6b87f:0xab9b7c75a7fac40c,152
0x48703bcf35072a0b:0x4180873ec5603a18,1308
0x48711be911036a65:0x8d3cd3b7b39712b0,56
0x487128b4739faf2f:0xc28da5d9e0fa1505,14
0x48711b07b195915d:0xce17ccd5be09127f,789
0x48713ab5ec960a33:0xf2ff14833eda4d92,10
0x48712f4ca8f4f89f:0x82110bc478f3e7a3,49
0x48711b7c48bdd86f:0x7de44cb0d3e4b36d,94
0x48711b72635a29b5:0x9920c3bc4e3c1649,25
0x48711b96bf2022b9:0x9d516e9f1b2f3dfa,74
0x487124f4b787ad27:0xdfcd4922cf7e499f,489
0x488f785677c7450d:0x58d3df1d31bf8ec4,21
0x48857741d4efc919:0x2bee4f0019909316,874
0x488e4942e6151255:0x27bdd17d0420a914,258
0x488e57aa43d120bd:0xb11a02338e875852,776
