input_id,link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_count,review_rating,reviews_per_rating,latitude,longitude,cid,status,descriptions,reviews_link,thumbnail,timezone,price_range,data_id,images,reservations,order_online,menu,owner,complete_address,about,user_reviews,user_reviews_extended,emails
vcIVaeumGu_R2roPgPen-QY,,Stag and Thistle Restaurant and Bar,,"Dalcross, Inverness, IV2 7JB, United Kingdom",{},null,,+441667464115,9C9QGWQP+MG,21,3.300000,null,57.539160,-4.063673,,,,,,Europe/London,,0x488f785677c7450d:0x58d3df1d31bf8ec4,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vcIVaeumGu_R2roPgPen-QY,,The Captain's Table,,"Findhorn Boat Yard, Findhorn, Forres IV36 3YE, United Kingdom",{},null,http://www.captainstable.uk/,+441309690663,9C9RM96J+V9,874,4.500000,null,57.662172,-3.619025,,,,,,Europe/London,,0x48857741d4efc919:0x2bee4f0019909316,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaenvB9Su0-kPlruBwQM,,The Richmond Bar,,"The Retreat Hotel, Church Brae, Strathpeffer IV14 9AW, United Kingdom",{},null,http://www.theretreathotel.co.uk/,+441997429219,9C9QHFQ5+8W,1,5.000000,null,57.588262,-4.540239,,,,,,Europe/London,,0x488fa79262b9dd05:0xace5ff10c82443,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,Cafaidh an Fhithich | Café of the raven,,"Junction, Garve, IV23 2QE, United Kingdom",{},null,,,9C9PQX2P+XX,9,4.900000,null,57.752407,-5.012530,,,,,,Europe/London,,0x488e4d004420ee15:0x85c72e29597becb7,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,The Bothy Coffee Shop,,"West Ln, Ullapool, IV26 2UT, United Kingdom",{},null,,,9C9PVRVP+XX,258,4.700000,null,57.894938,-5.162609,,,,,,Europe/London,,0x488e4942e6151255:0x27bdd17d0420a914,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,The Midge Bite Cafe Achnasheen,,"The Midge Bite Cafe, Achnasheen, IV22 2EE, United Kingdom",{},null,https://www.facebook.com/midgebitecafe/,+441445720222,9C9PHWJH+8G,776,4.800000,null,57.580764,-5.071185,,,,,,Europe/London,,0x488e57aa43d120bd:0xb11a02338e875852,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,The Coffee Shop,,"Cromartie Buildings, 1, A834, Strathpeffer IV14 9DG, United Kingdom",{},null,,,9C9QHFQ6+PX,91,4.600000,null,57.589281,-4.537594,,,,,,Europe/London,,0x488fa73e5e8ce16d:0x3115576cbcd6a4d9,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,Highland Farm Cafe,,"Mountgerald, Dingwall, IV15 9TT, United Kingdom",{},null,http://www.highlandfarmcafe.co.uk/,+447498791634,9C9QJJC2+45,925,4.700000,null,57.620289,-4.399550,,,,,,Europe/London,,0x488fa1c37fa9d0a7:0xf01319ee4f86e54e,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,Cafe Tomich Limited,,"Tomich Road, Invergordon, IV18 0LF, United Kingdom",{},null,,+441349852003,9C9QPR58+J2,666,4.500000,null,57.709057,-4.184939,,,,,,Europe/London,,0x488f9b4723071e57:0xeee3b419b6555d8b,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
vsIVaY3LOqqO2roPq__PwQ4,,Bridge Cottage Art Café,,"Bridge Cottage, Poolewe, Achnasheen IV22 2JU, United Kingdom",{},null,,,9C9PQ98W+63,351,4.800000,null,57.765542,-5.604780,,,,,,Europe/London,,0x488e6eebc0d2da6f:0x73de0ffe8a2a4fd3,null,null,null,"{""link"":"""",""source"":""""}","{""id"":"""",""name"":"""",""link"":""""}","{""borough"":"""",""street"":"""",""city"":"""",""postal_code"":"""",""state"":"""",""country"":""""}",null,null,null,
