data_id,review_count
0x488ff5136a008651:0xc70ae4876fd0c587,83
0x488ff56dc8feb74b:0xbf8412e9a469b2bb,372
0x488ff55f49516545:0x56d73ddb7e84520f,66
0x488ff5137f418f1f:0x3442f955f85a5865,1173
0x48855eec027b59e7:0x269769fd4ab86fae,427
0x48855fce3e89e2b9:0xba6fae24ae499d7d,15
0x488f8c60bb51f063:0x33a17bf68f7cacbd,187
0x488f8b222c8200d5:0x6bd1df28f5496977,330
0x488f8b92295f3235:0x28ee55a47eb50f3d,478
0x488f8b943d4c1cd5:0x2dad4dcf76c0403a,37
0x488f8b6b6e989bd9:0x3243909845ff2fc8,11
0x488f8b93c3d70a33:0x18b7ccd74605a8da,195
0x488f8b922bec3eed:0xb6d6152a9e462512,659
0x488f8b944f7273c9:0x538df33cfdeb2f8,116
0x488563c089ed38f7:0xe4a1f54e854df76a,110
0x488f8ed11342313d:0xd9cd5cfe6e467f3d,1109
0x488f8ed7499b6699:0x7c32e8bbf7cf4441,388
0x4885457307e16dd5:0xc9e1ed3d246e1a81,968
0x488545201ceabfd5:0xd34beaba3ee77c22,27
0x488f9b12116a5d1b:0x292291b0a823cf4e,915
0x488ff5224ba2655f:0x7d0b562d58183392,159
0x488f8b95b644a0fd:0xc85b37ad0cff9e8a,144
0x488f8b93c19b39d9:0xb32b9b7c7ecd16a9,204
0x488f8edca0a40883:0x66afec299f2c9d71,310
0x488f8ed73513165b:0x4c6a7763d5ab84fa,324
0x488545730c949465:0xc6b66379a9b8c698,131
0x48854574879c3b2f:0xf047f9f059afac5,223
0x488f953138beb3af:0x647e7aa8eb276880,117
0x48857ff789c8bf29:0x336ec66bb6734b3e,470
0x488ff513ec3a20d7:0x4ef7fe68a10790d,644
0x488ff5136a008651:0xecb2dceca980e7c2,325
0x48855eec0be5f28b:0x23876a604dd3e1f9,68
0x48855eec732bedd3:0x16bccd3804e2ddee,340
0x488f8bf9e39c3017:0x2846892394a72fea,482
0x488f8b93d9b26081:0x6e3a6d24b6d9eb12,253
0x48856352b169bc77:0x9dbcd32c8dd99ba5,159
0x488feaec15836fff:0x61db36f8f9f0cfa5,54
0x488f8b93addc2c6b:0x2678c2fa459a2025,274
